Date,Price,Open,High,Low,Change %
3-Apr-14,"1,287.30","1,289.89","1,294.20","1,281.59",-0.19%
2-Apr-14,"1,289.80","1,279.85","1,295.21","1,278.65",0.83%
1-Apr-14,"1,279.15","1,283.79","1,288.25","1,277.44",-0.40%
31-Mar-14,"1,284.25","1,294.30","1,298.81","1,282.65",-0.75%
28-Mar-14,"1,294.00","1,293.64","1,299.20","1,285.84",0.22%
27-Mar-14,"1,291.14","1,304.14","1,307.15","1,289.30",-0.99%
26-Mar-14,"1,304.10","1,311.25","1,317.01","1,298.90",-0.53%
25-Mar-14,"1,311.05","1,309.60","1,317.86","1,306.20",0.11%
24-Mar-14,"1,309.62","1,334.74","1,334.86","1,308.04",-1.87%
21-Mar-14,"1,334.55","1,328.55","1,343.04","1,328.45",0.46%
20-Mar-14,"1,328.50","1,331.05","1,335.21","1,320.85",-0.22%
19-Mar-14,"1,331.45","1,355.95","1,360.26","1,328.00",-1.83%
18-Mar-14,"1,356.25","1,366.80","1,367.77","1,350.80",-0.78%
17-Mar-14,"1,366.95","1,382.07","1,392.37","1,362.53",-1.11%
14-Mar-14,"1,382.24","1,370.59","1,388.40","1,368.06",0.85%
13-Mar-14,"1,370.60","1,367.50","1,375.46","1,364.65",0.26%
12-Mar-14,"1,367.08","1,349.39","1,371.10","1,345.44",1.27%
11-Mar-14,"1,349.95","1,339.35","1,353.11","1,338.00",0.81%
10-Mar-14,"1,339.15","1,339.27","1,345.41","1,329.47",-0.08%
7-Mar-14,"1,340.25","1,351.21","1,352.90","1,329.75",-0.82%
6-Mar-14,"1,351.35","1,337.45","1,353.37","1,331.35",1.04%
5-Mar-14,"1,337.39","1,334.83","1,341.88","1,332.58",0.19%
4-Mar-14,"1,334.90","1,350.95","1,352.61","1,331.54",-1.18%
3-Mar-14,"1,350.90","1,326.50","1,355.41","1,326.50",1.85%
28-Feb-14,"1,326.40","1,331.67","1,333.91","1,320.22",-0.38%
27-Feb-14,"1,331.44","1,330.58","1,336.48","1,323.97",0.05%
26-Feb-14,"1,330.75","1,340.31","1,345.40","1,322.14",-0.75%
